,T_prop_T2 (UTC),final_RAAN_T2,inc_degrees,angle_between_vernal_and_pm,long_ECI,del_RAAN
729,2023-03-21 12:26:00,181.81207992834874,9.986,10.028523575224197,56.84351305740954,124.9685668709392
730,2023-03-21 12:31:00,181.78670944715088,9.986,11.281945809975134,55.59009082265861,126.19661862449227
731,2023-03-21 12:36:00,181.76133896595286,9.986,12.535368044693556,54.33666858794018,127.42467037801268
732,2023-03-21 12:41:00,181.735968484755,9.986,13.788790279384743,53.083246353248995,128.652722131506
733,2023-03-21 12:46:00,181.7105980035571,9.986,15.042212514042586,51.82982411859115,129.88077388496595
734,2023-03-21 12:51:00,181.68522752235924,9.986,16.295634748672366,50.57640188396137,131.1088256383979
735,2023-03-21 12:56:00,181.65985704116122,9.986,17.549056983272862,49.322979649360875,132.33687739180033
736,2023-03-21 13:01:00,181.63448655996336,9.986,18.80247921784447,48.06955741478926,133.56492914517412
737,2023-03-21 13:06:00,181.6091160787655,9.986,20.055901452385964,46.81613518024777,134.79298089851773
738,2023-03-21 13:11:00,181.5837455975676,9.986,21.309323686901003,45.56271294573273,136.02103265183487
739,2023-03-21 13:16:00,181.55837511636963,9.986,22.56274592138836,44.30929071124538,137.24908440512425
740,2023-03-21 13:21:00,181.53300463517172,9.986,23.816168155848427,43.05586847678531,138.47713615838643
741,2023-03-21 13:26:00,181.50763415397387,9.986,25.06959039028161,41.80244624235212,139.70518791162175
742,2023-03-21 13:31:00,181.48226367277596,9.986,26.323012624688314,40.54902400794542,140.93323966483052
743,2023-03-21 13:36:00,181.456893191578,9.986,27.576434859067305,39.29560177356643,142.16129141801156
744,2023-03-21 13:41:00,181.43152271038008,9.986,28.829857093422238,38.0421795392115,143.38934317116858
745,2023-03-21 13:46:00,181.40615222918223,9.986,30.083279327751892,36.78875730488184,144.61739492430038
746,2023-03-21 13:51:00,181.38078174798437,9.986,31.336701562056668,35.53533507057706,145.84544667740732
747,2023-03-21 13:56:00,181.35541126678635,9.986,32.59012379633533,34.2819128362984,147.07349843048794
748,2023-03-21 14:01:00,181.3300407855885,9.986,33.843546030591526,33.02849060204221,148.30155018354628
749,2023-03-21 14:06:00,181.30467030439058,9.986,35.09696826482405,31.775068367809684,149.5296019365809
750,2023-03-21 14:11:00,181.27929982319273,9.986,36.35039049903329,30.521646133600445,150.75765368959227
751,2023-03-21 14:16:00,181.2539293419947,9.986,37.60381273321965,29.268223899414085,151.9857054425806
752,2023-03-21 14:21:00,181.22855886079685,9.986,38.85723496738351,28.01480166525022,153.21375719554663
753,2023-03-21 14:26:00,181.203188379599,9.986,40.11065720152531,26.761379431108427,154.44180894849057
754,2023-03-21 14:31:00,181.1778178984011,9.986,41.364079435643774,25.50795719698996,155.66986070141112
755,2023-03-21 14:36:00,181.15244741720312,9.986,42.61750166974259,24.254534962891146,156.89791245431198
756,2023-03-21 14:41:00,181.1270769360052,9.986,43.87092390381889,23.001112728814842,158.12596420719038
757,2023-03-21 14:46:00,181.10170645480736,9.986,45.12434613787796,21.747690494755776,159.35401596005158
758,2023-03-21 14:51:00,181.07633597360945,9.986,46.37776837191369,20.494268260720045,160.5820677128894
759,2023-03-21 14:56:00,181.05096549241148,9.986,47.63119060593298,19.240846026700755,161.81011946571073
760,2023-03-21 15:01:00,181.02559501121362,9.986,48.88461283992972,17.98742379270401,163.0381712185096
761,2023-03-21 15:06:00,181.0002245300157,9.986,50.1380350739092,16.734001558724533,164.26622297129117
762,2023-03-21 15:11:00,180.97485404881786,9.986,51.39145730786856,15.48057932476517,165.4942747240527
763,2023-03-21 15:16:00,180.94948356761984,9.986,52.64487954181146,14.22715709082227,166.72232647679758
764,2023-03-21 15:21:00,180.92411308642198,9.986,53.898301775736655,12.973734856897078,167.95037822952492
765,2023-03-21 15:26:00,180.89874260522407,9.986,55.15172400964456,11.720312622989173,169.1784299822349
766,2023-03-21 15:31:00,180.87337212402622,9.986,56.405146243535555,10.466890389098179,170.40648173492804
767,2023-03-21 15:36:00,180.84800164282825,9.986,57.65856847741006,9.213468155223676,171.63453348760459
768,2023-03-21 15:41:00,180.82263116163034,9.986,58.91199071126682,7.960045921366916,172.86258524026343
769,2023-03-21 15:46:00,180.7972606804325,9.986,60.16541294510951,6.706623687524225,174.09063699290826
770,2023-03-21 15:51:00,180.77189019923458,9.986,61.418835178935254,5.45320145369848,175.3186887455361
771,2023-03-21 15:56:00,180.7465197180366,9.986,62.67225741274774,4.199779219885993,176.54674049815063
772,2023-03-21 16:01:00,180.7211492368387,9.986,63.92567964654731,2.9463569860864247,177.77479225075228
